Year (Latin),Year (English),Event (Latin),Event (English)
823,70,Vespasianus vectigalum urinae reinstitit. Pecunia non olet,Vespasian renews the urine tax. Money does not stink
826,73,Primum Bellum Idudaicum perfectum est cum Roma Sicarios vicet in obsidio Masadae,The Great Jewish result end with the defeat of the Sicarii at the Siege of Masada
832,79,"Mons Vesuvius erupit, et Pompeium Herculaneumque destructi sunt","Mount Vesuvius erupts, and Pompeii and Herculaneum are destroyed"
832,79,Plinius Maior a Vulcano erumpente necatus est,Pliny the Elder is killed by a vulcanic eruption
832,79,"Titus, filius Imperatori, imperator fuit","Titus, son of an emperor, becomes one"
833,80,Amphitheatrum Flavio perfectum est,The Flavian Amphitheater is completed
834,81,Titus morbo mortuus est,Titus dies of fever
834,81,Domitianus imperator fuit,Domitian becomes emperor
837,84,"Praeter Caledoniam, Gnaeus Iulius Agricola totam Britanniam occupavit","Except for Scotland, Gnaeus Iulius Agricola occupied the entirety of Britain"
839,86,Domitianus contra Daciam bellum geruit,Domitian waged war against Dacia
841,88,"Dacia, ubi os fluminis Danuvio et litore Ponto Euxino adiugat, clientis Romani facta est","Dacia, where the mouth of the Danube meets the Black Sea is made a client of Rome"
849,96,Dynastia Flavio perfecta est,The Flavian Dynasty in ended
849,96,Nerva imperator fuit,Nerva becomes emperor
849,96,"M. Fabius Quintillianus rhetor, qui Institutio Oratoria scripserat, mortuus est","The Rhetor Quintillian, who wrote Institutes of Oratory, died"
850,97,Traianus a Imperatore adoptus est,Trajan is adopted by the emperor
851,98,Traianus imperator fuit,Trajan becomes emperor
851,98,"Tacitus Agricola scripsit, quem de vita Iulii Agricolae narravit.","Tacitus wrote Agricola, which tells of the life of Julius Agricola"
854,101,Primum Bellum Daciam inceptum est,The First Dacian War began
855,102,"Poeta Martialis, qui Epigrammaton scripserat, mortuus est","The poet Martial, who had written Epigrams, died"
856,103,"Plinius Minor in Epistulis amorem magnum uxoris eius, nomina Calpurnia descripsit ","Pliny the Younger describes the great love of his wife, Calpurnia, in his Epistulae"
858,105,Secundum Bellum Daciam inceptum est,The Second Dacian War begins
859,106,Arabia Petraea provincia Romana a Traiano facta est,Arabia Petraea is made a Roman province by Trajan
860,107,Dacia provincia Romana facta est,Dacia is made a Roman province
865,112,Forum Traianum dedicatum est,Trajan's forum is completed
866,113,Columna Traiani aedificata est,Trajan's column is constructed
867,114,Armenia provincia Romana facta est,Armenia is made a Roman province
869,116,"Cum Mesopotamia Assyriaque provinciae Romanae fecerunt, Imperium Romanum maximum magnitudem fuit","When Mesopotamia and Assyria were made Roman provinces, The Roman Empire reached its largest size"
870,117,Traianus mortuus est,Trajan dies
870,117,Hadrianur imperator fuit,Hadrian becomes emperor
874,121,"Suetonius De vita Caesarum scripsit, quem de vita imperatoris ab Iulio Caesare ad Domitianum narravit","Suetonius wrote The Twelve Caesars, which biographs the emperors from Julius Caesar to Domitian"
875,122,Vallum Hadriani aedificare inceptum est,Hadrian's Wall begins construction
876,123,rebellio in Mauretaria contra Imperium Romanum a Hadriano victa est,A rebellion in Mauretania against Roman rule is put down by Hadrian
878,125,"Hadrianus, in Graecia, invitavit nobiles e Athenis Spartaque in Senatu","Hadrian, while in Greece, invited Nobles from Athens and Sparta to the Roman Senate"
884,131,"Post mortem Antinoum, amatorem Imperatori, Imperator Panhellenionem fecit","After the death of his lover, Antinous, the emperor founded the Panhellenion"
885,132,Simon bar Kokhba rebellionem contra Imperium Romae in Judeae duxit,Simon bar Kokhba leads a rebellion against Roman rule in Judea
889,136,"Lucius Aelius, qui a Hadriano adoptus erat, mortuus est. Tunc Hadrianus Antoninum Pium adoptavit cum is Marcum Aurelium adoptare promitteret","Lucius Aelius, who had been adopted by Hadrian, passed away. Then, Hadrian adopted Antoninus Pius when he promised to adopt Marcus Aurelius"
893,140,"Post mortem Faustinae, ea deam a Senatu facta est, et maritum eum templum in foro aedificare inceptum est","After the death of Faustina, she was deified, and her husband began building a temple to her in the forum"
901,148,Imperator qualitatem argentum denarii decrevit ut festivalem nonagesimo anno Urbis Romae celebri potesset,The Emperor debased the quality of Silver denarii in order to celebrate the 900th year of the city of Rome
907,154,"Vallum Antoninum, sexuaginta et septem milia septentrionis vallum Hadriani, aedificatum est","The Antonine Wall, 67 miles north of Hadrian's wall, is builty"
914,161,"In mortuo, Antoninus Pius Imperium Romanum a Filiis Marco Aurelio et Lucio Vero dedit","In death, Antoninus Pius gave the empire to his sons Marcus Aurelius and Lucius Verus"
918,165,"Pestis Antonina, quae infinitum numerum hominem necatura fuit, incepit ","The Antonine Plague, which would kill a large amount of the Roman population, begins"
919,166,Prima littera de Grege Romani in cohorte Imperatori Sinae esse scripta est,The first record of a group of Romans being in the court of the Emperor of China is written
922,169,Lucius Verus morbo mortuus est,Lucius Verus dies of disease
922,169,"Bellum Germanicum et Sarmaticum, quid reliquum regnum Marci Aurelii constavit, incepit","The Marcomannic Wars, which would last the rest of Marcus Aurelius's reign, begins"
926,173,Miraculus Imbris Legiones Romani in Regione Marcomanni servavit,The miracle of the rain saves roman legions in Marcomannia
928,175,"Statua Equestra Aenea Marci Aurelii, quae usque ad nos pervenit, creata est","The Equestrian statue of Marcus Aurelius, one of the only imperial equestrian statues that survives to this day, is made"
930,177,Commodus imperator cum patre factus est,Commodus is made emperor with his father
933,180,"Marco Aurelio mortuo, Pax Romana perfecta est","With Marcus Aurelius' death, the Pax Romana ends"
933,180,Commodus solus Imperator fuit,Commodus becomes sole Emperor
935,182,"Soror Commodi, nomina Lucillia, coniurationem contra Imperatorem fecit","Lucilla, the sister of Commodus, built a conspiracy against the emperor"
937,184,Legiones Romae a Vallo Antonino reliquerunt,Roman Legions abandon the Antonine Wall
937,184,"Pescennius Niger, qui imperator futurus fuit, contra Daciam praestantiter pugnavit","Pescennius Niger, who would become Emperor, is commended for his fighting against the Dacians"
940,187,"Cleander, consuasor Commodi, magistratus vendere pro ipse incepit","Cleander, advisor of Commodus, begins selling off public offices for his own benefit"
945,192,"Commodus nomines Mensium de nominibus suis mutavit. Nunc: Lucius, Aelius, Aurelius, Commodus, Augustus, Herculeus, Romanus, Exsuperatorius, Amazonius, Invictus, Felix, et Pius","Commodus renames the months after himself. Now they are: Lucius, Aelius, Aurelius, Commodus, Augustus, Herculeus, Romanus, Exsuperatorius, Amazonius, Invictus, Felix, and Pius"
946,193,Commodus Mortuus a Senatu de facto damnatio memoriae decretus est,"Commodus is declared a public enemy by the senate, following his death"
946,193,Pertinax a Cohortibus Praetoriae imperator dictus est. Hic eventus Annum quinque imperatores incepit.,Pertinax is delcared Emperor by the Praetorian Guard. This event begins the year of the Five Emperors
946,193,"Pertinace Mortuo, Cohotres Praetoriae Imperatorem Didio Juliano vendiverunt","With Pertinax dead, the Praetorian Guard sells the Emperorship to Didius Julianus"
946,193,Pescennius Niger et Septimius Severus a Legiones Imperatorem decreti sunt,Pescennius Niger and Septimius Severus are declared Emperor by their legions
946,193,"In hoc anno, Pertinax, Didius Julianus, Pescennius Niger, Clodius Albinus, et Septimius Severus Imperatores fuerunt","In this year, Pertinax, Didius Julianus, Pescennius Niger, Clodius Albinus, and Septimius Severus become Emperor"
947,194,"Pescennius Niger, qui imperatorm se dixit, a Imperatore Septimio Severo interfectus est","Pescennius Niger, who declared himself emperor, is killed by the emperor Septimius Severus"
950,197,"Clodius Albinus, qui imperatorm se dixit, a Imperatore Septimio Severo interfectus est","Clodius Albinus, who declared himself emperor, is killed by the emperor Septimius Severus"
951,198,"Filius Imperatori, nomine Caracalla, a Imperatore Imperatorem decretus est","The son of the emperor, who was named Caracalla, is declared emperor by the emperor"
955,202,"Caracalla a Imperatore iussus est Fulviam Plautillam, quae ad ipso odi est, in matrimonio ducat","Caracalla is commanded by the emperor to marry Fulvia Plautilla, whom he hated."
956,203,Sancta Perpetua Carthaginis mortua est,Saint Perpetua died in Carthage
964,211,"Septimio Severo Mortuo, Filii Caracalla Getaque imperatores fuit. Posthac, Decembri, Cohortes Praetoriae Getam interfecerunt","With Septimius Severus dead, his sons, Caracalla and Geta, are made emperors. After this, in December, the Praetorian Guard kill Geta"
965,212,"Caracalla Imperator Constitutionem Antoninianam iussit. Haec lex libertos cives Romanos fecit, et libertabus civitates feminae Romanae dedit ","Emperor Caracalla passes the Constituio Antoniniana. This law makes freedmen Roman citizens, and gives freedwomen the same rights as Roman women"
965,212,"Dum Caracalla regnavit, ipse iussit nummos Imperio Romano monetet cum simulacris dei Aegypti Serapis","While Caracalla ruled, he commanded that Roman coins be printed with the likeness of the Egyptian God Serapis"
970,217,Caracalla a Cohortibus Praetoriae occisus est,Caracalla is killed by the Praetorian Guard
971,218,Elegabalus Imperatorem Macrinum interfecit,Elegabalus kills Emperor Macrinus
971,218,"Sacerdos Elagabali, deus solis Syriae, ad Romam ivit, et Imperator fuit","A priest of Elagabal, a Syrian sun god, went to Rome and became Emperor"
973,220,Iuppiter de Ducem Panthei Romanae mutavit pro Elagabalum,Jupiter is changed from head of the Roman Pantheon to Elagabal
973,220,Imperator Virginem Vestalem Aquilam Severam in matrimonio duxit,"The emperor marries a vestal virgin, named Aquilia Severa"
975,222,"Elegabalus, cum Matre sui, a Cohortibus Praetoriae occisus est, et frater imperatori, nomine Severus Alexander, imperator fuit","Elegabalus and his mother are killed by the Praetorian Guard, and his cousin, Severus Alexander, is declared Emperor"
975,222,"Ante Imperatore Marco Antonii Giordiani, Severus Alexander Imperator Iuvenissimus fuit","Before Emperor Marcus Antonius Giordianus, Severus Alexander becomes the youngest emperor"
981,228,Cohortes praetoriae praefectum Ulpianum interfecit,"The Praetorian Guard killed their prefect, Ulpian"
988,235,Legio XXII Primigenia consternavit et Imperatorem Severum Alexandrem interfect,The 22nd Legion Primigenia mutinied and killed the emperor Severus Alexander
988,235,"Severo Alexandro Necato, Discrimen tertii saeculi inceptum est","With Severus Alexander killed, the Crisis of the Third Century begins"
988,235,"Maximinus Thrax, primus Imperator qui nec ex senatoribus nec ex equitibus esse, Imperator fuit","Maximinus Thrax, the first emperor to not be from the Senatorial or Equestrian class, becomes emperor"
991,238,"Post rebellionem in Africa, Senatus Gordianum filium suumque Imperatores appelavit. Cum imperator Maximinus Thrax hunc eventum audiret, legiones ad Romam duxit","After a rebellion in Africa, the Senate declared Gordian and his son emperors. When Emperor Maximinus Thrax heard this, he led his legions to Rome"
991,238,"Capelianus, Legatus Augusti pro praetore in Numidia, Imperatores Gordianum Gordianum Secundumque occisit. Cum senatus cognovisset, Imperium ad Pupienum Balbinumque dedit","Capelianus, Legate Augusti Pro Pratore in Numidia, killed the emperors Gordian I and Gordian II. When the Senate learns of this, they declare Pupienus and Balbinus emperors"
991,238,"Cum populus Urbis Romae contra Pupienum Balbinumque rebelavisset, Imperatori Gordianum Tertium imperium dederunt ut turbas placent","When the populace of the City of Rome rebelled against Pupienus and Balbinus, the Emperors declared Gordian III Emperor to calm the crowds"
991,238,"Maximinus Thrax a militibus sui ocissus est. Postea, Pupienus et Balbinus a Cohortibus praetoriae occisi sunt. Tunc, Gordianus Tertius solus imperator fuit","Maximinus Thrax is killed by his troops. Afterwards, Pupienus and Balbinus are killed by the Praetorian Guard, leaving Gordian III as sole Emperor"
996,243,"Gordianus Tertius, anno undevingesimo, bellum contra Regnum Sassanidarum vicit, et triumphalem celebravit",A 18 year old Gordian III celebrated a triumph for his victory over the Sassanid Empire
997,244,"Postquam Triumphalem, Gordianus Tertius in proelium mortuus est. Marcus Iulius Philippus, praefectus Cohortium Praetoriae, imperator fuit","After his triumph, Gordian III dies in battle. Philip the Arab, prefect of the Praetorian Guard, became emperor"
1001,248,Roma annum milium ab urbe condita celebravit,Rome celebrated its thousandth year of existence
1002,249,Gaius Messius Quintus Decius Imperatorem Marcum Iulius Philippum Arabem in proelio vicit,Decius defeats Emperor Philip the Arab in battle
1004,251,"Proelium apud Arbitrum, Imperator Decium a Gothos ocissus est. Trebonianus Gallus a legionibus sui Imperium datus est","At the Battle of Arbitrus, Emperor Decius is killed by the Goths. Rebonianus Gallus is declared emperor by his legions"
1006,253,"Imperator Gallus et filius suus, nomine Volusianus, in consternatio occisi sunt. Aemelianus a Legionibus suis Imperidum datus est","The Emperor Gallus and his son, Volusianus, are killed in a mutiny, and Aemelianus is declared emperor by his troops"
1006,253,"Postquam occisum Imperatori Aemeliani, Valerianus Imperium a Legione suis datus est","After the murder of the Emperor Aemelianus, Valerian is declared emperor by his legion"
1010,257,"Postquam Regnum Sassanidarum Antiochum occupavit, Imperator Valerian urbem liberavit","After the Sassanid Empire occupied Antioch, the Emperor Valerian liberated the city"
1013,260,Exercitus Regna Sassanidarum in Proelio apud Edessam Imperatorem Valerianum vicit et cepit,"At the battle of Edessa, the Sassanid army defeated the Emperor Vespasian and made him a prisoner of war"
1013,260,Postumus a legionibus suis imperium datus est. Sed non imperator Imperio Romano fuit. Imperium Gallicum creavit,"Postumus is declared emperor by his legions, but he does not rule in the Roman empire. He creates the Gallic Empire"
1017,264,"Valerianus, captivus Regni Sassanidarum, in captivo mortuus est. Tunc, filius Valerianus, nomine Gallienus, solus imperator fuit","Valerian, prisoner of the Sassanid Empire, dies in captivity. Then, his son, Gallienus, became the sole Emperor"
1020,267,"Marito Zenobiae Mortuo, Septimia Zenobia, mater regi et regina Palmyrene, Imperium Palmyrenem creavit in Syria","With Zenobia's husband dead, Septimia Zenobia, mother of the king and regent of Palmyra, created the Palmyrene Empire in Syria"
1021,268,Legiones Claudium Gothicum imperium dederunt,Legions declared Claudius Gothicus emperor
1022,269,"Postquam Postumus Mortuus est, Marcus Piavonius Victorinus imperator Gallicorum fuit","After Postumus died, Marcus Piavonius Victorinus became Gallic Emperor"
1023,270,"Postquam Claudius Gothicus et frater Quintillius mortui sunt, Lucius Domitius Aurelianus imperator fuit","After the deaths of Claudius Gothicus and his brother Quintillius, Aurelian is declared emperor"
1024,271,Tetricus Primus imperator Gallicorum fuit,Tetricus I became Gallic Emperor
1026,273,Aurelianus Imperium Palmyrenem destruxit,Aurelian destroys the Palmyrene Empire
1027,274,Aurelianus in proelio apud Catalaunicam Imperium Gallicorum vicit et Imperium Romanum reunivit,Aurelian defeated the Gallic Empire at the battle of Châlons and reunited the Roman Empire
1028,275,"Postquam Aurelianus occisus est, Tacitus imperator fuit","After Aurelian is murdered, Tacitus became emperor"
1029,276,Marcus Annius Florianus imperator fuit,Florianus became Emperor
1035,282,"Marcus Aurelius Probus, frater Imperatori Taciti, anno sexigesimo imperiis suis, occisus est","Marcus Aurelius Probus, the brother of Emperor Tacitus, in his sixth year of Emperorship, is killed"
1037,284,Diocletianus a legionibus nomen augustus datus est,Diocletian is given the title Augustus by his legions
1038,285,"Diocletianus Maximianum, legatum imperatori, Caesarem fecit","Diocletian makes Maximian, his legate, Caesar"
1040,287,"Bahram Secundus, Rex Regni Sassanidarum, Diocletianum donum dedit, et amicitiam inter imperios clamavit","Bahram II, King of the Sassanian Empire, gave Diocletian gifts and declared friendship between the Empires"
1046,293,Imperator Diocletianus iussit Flavius Constantius exercitum contra Carausium defecentem ducat  ,The Emperor Diocletian commands that Flavius Constantinus lead an army against the rebelling Carausium
1046,293,"Diocletianus tetrarchiam fecit. Imperium Romanum inter quattuor viri, duos augustos, duos caesares. Primi Augusti sunt Diocletianus et Maximinus. Primi Caesari sunt Galerius et Constantinus","Diocletian creates the Tetrarchy. The Roman Empire is divided between four men, two Augusti and two Caesars. The first Augusti are Diocletian and Maximian. The first Caesars are Galerius and Constantius"
1054,301,Res publica Sancti Marini conditus est,San Marino is founded
1056,303,"Postquam haruspicina non potesse lecta est, Diocletianus et Galerius iussunt persecutio Christiani incepta sit ","After a haruspicy cannot be read, Diocletian and Galerius begin a large persecution of Christians"
1058,305,"Propter morbo Diocletiani, Augustus imperium abcessit. Flavius Valerius Severus et Maximinus caesares fuit, et Constantius et Galerius augusti fuit ","Because of Diocletian's illness, he abdicated his throne. Flavius Valerius Severus and Maximinus became Caesars, and Constantius and Galerius became Augusti"
1059,306,"Postquam Constantius mortuus est, filius suus, nomine Constantinus, qui Constantinus Magnus futurus fuit, caesar fuit","After the death of Constantius, his son, Costantine, who would later become Constantine the Great, became Caesar"
1059,306,Bella Civiles Tetrarchiae incepit,The Civil Wars of the Tetrarchy begin
1061,308,"Maxentius, qui a civilibus urbis Romae princeps invictus appelatus est, Severum, Galerium, et Maximianum vicit","Maxentius, who was named undefeated prince by the people of the city of Rome, defeated Severus, Galerius, and Maximian"
1063,310,"Postquam Constantinum vincere conatus est, Maximianus, augustus Diocletiani, se occidit","After an attempted coup of Constantine, Maximian, Diocletian's Augustus, commits suicide"
1064,311,"Galerius persecutionem Christiani desavit quia Christiani religionem non mutaverunt. Edicto Anuntio, Galerius brevi mortuus est","Galerius stops persecution of Christians because the Christians did not change their religion. Shortly after this edict, Galerius passed away"
1065,312,"Cum Maxentio Libri Sibyllini inimicum Romanorum moriturus esse dixissent, is exercitum contra Constantinum duxit, sed victus est","When the Sibyllene books told Maxentius that the enemy of the Romans would perish, he led his army against Constantine, but was defeated"
1065,312,"In somno, Constantinus in scutis legiis Chi-Rho pingere iustus est. In Proelio apud pontem Milvii, Exercitus Magnus Maxentii a exercitu parvis Constantini victus est","In a dream, Constantine is told to paint the Chi-Rho on his soldiers' shields. In the battle of the Milvian Bridge, the outnumbered Constantine forces defeated Maxentius's"
1066,313,"Edictum Mediolanense a Constantino Magno conventum est, quid dixit Christianos et alteros homines religionium deum suum precari potesse, et homines omnium religionium propitia esse","The Edict of Milan is passed by Constantine the Great, which allows Christians and any members of religions to practice them, and that they will be held in high regard"
1067,314,"Postquam Licinius Maximinum Dazam vicerat, Constantinus Magnus Licinium in proelio apud Cibalas vicit","After Licinius had defeated Maximinus Daza, Constantine defeats Licinius at the Battle of Cibalae"
1077,324,"in primo preolio apud Hadrianopolem, legiones Constantini Magni multos milites Licinii occiderunt. Illo anno, exercitus Licinii tandem totaliter a Constantino Magno victus est","At the first Battle of Adrianople, Constantine the Great's legions kill a large amount of Licinius's soldiers. That year, Licinius's army is finally completely defeated by Constantine's army"
1078,325,"In Consilio Nicaeno Primo, Natura Iesu Christu expositus est, quae Iesum filium Dei dixit  ","At the first council of Nicaea, The relationship of Jesus and God the Father is established, which expresses Jesus as the son of God"
1079,326,"Postquam Bella civiles Tetrarchiae prefectum est, Constantinus Magnus solus imperator fuit","After the end of the Civil Wars of the Tetrarchy, Constantine the Great became sole Emperor"
1083,330,Urbs Amplissima Imperii Romani a Constantino Magno in Byzantio translata est. Constantinus Magnus hanc urbem Constantinopolem renominavit,The Capital of the Roman Empire is moved to Byzantium by Constantine the Great. He renames this city Constantinople
1090,337,"Constantino Magno Mortuo, Imperium Romanum in tres partibus divisum est, inter filios Constantini Magni, qui nomines Constantinus Secundus, Constantius Secundus, et Constans sunt","With Constantine the Great dead, the Roman Empire was spit between his three sons, whose names were Constantine II, Constantius II, and Constans"
1093,340,"Constantinus Secundus contra fratrem suum exercitum duxerat, sed in proelio sequendo mortuus est","Constantine II had led an army against his brother, but died in the subsequent battle"
1103,350,"Legionibus Iratis, Magnentius Imperium datus est, et Legiones contra Constantem duxit","With the Legions angry, Magnentius is declared emperor, and he led Legions against Constans"
1106,353,"In preolio apud Montem Seleucum, Constanius Secundus Magnentium vicit","At the Battle of Mons Seleucus, Constantius II defeated Magnentius"
1114,361,"Constantio Secundo morbo mortuo, Iulianus solus imperator fuit","With Constantius II dead of fever, Julian became the sole Emperor"
1117,364,Valentinianus Magnus imperator fuit,Valentinian the Great became emperor
1120,367,"Barbaratica Coniuratio, contra Valentinianum Magnum in Britanniam inceptus est. Duces Romani a Barbaris necati sunt",The Great Conspiracy against Valentinian the Great in Britain is begun. Roman leaders are killed by local tribes
1131,378,"In secundo proelio apud Hadrianopolem, exercitus Gothici Alanique urbem petiverunt","At the second Battle of Adrianople, Gothic and Alanic armies attacked the city"
1133,380,Theodosius Magnus Edictum Thessalonicense edidit. Hoc edictum cultum Christianismi religionem Imperii Romani fecit,Theodosius the Great Wrote the Edict of Thessalonica. This Edict made Christianity the Empire's religion
1145,392,Simulacrum Traiani super columna ea a Cristianis remotum est,The statue of Trajan atop his column is removed by Christians
1146,393,Ultimi Ludi Olympici Antiqui celebrati sunt,The last Ancient Olympic Games are held
1148,395,"Postquam Theodosius Magnus mortuus est, Imperium Romanum in duas partibus divisum est. Post hunc eventum, Imperium Romanum numquam reunitum est","After the death of Theodosius the Great, the Roman Empire is split into two parts. After this event, the Empire would never be reunited"
1153,400,Aelia Eudoxia a Imperatore Augusta facta est,Aelia Eudoxia is made Augusta by the Emperor
1157,404,Ultima Munera Gladiatoria in Colosseo edata sunt,The Last Gladiator fights are held in the Colosseum
1158,405,Sanctus Hieronymus Biblia Vulgata scripsit,Saint Jerome writes the Vulgate
1159,406,Multa gentes barbarii sine mora trans flumen rhenum in Galliam invaserunt,Many Germanic tribes all at once crossed the Rhine river to invade Gaul
1163,410,"Alaricus, primus rex Visigothorum, exercitum ad Romam duxit ut urbem expugnaret","Alaric, the first king of the Visigoths, led an army to Rome and sacked the city"
1163,410,Ultimi Milites Romani ab Britannia exiverunt. Numquam revenient,The last Roman troops leave Britain. They will never return
1174,421,Urbs Venetia condita est,The city of Venice is founded
1177,424,Valentinianus Tertius imperator fuit. Regnum suum anno trecesimo extendet,Valentinian III became emperor. He will reign for thirty years despite civil war and a collapsing empire
1200,447,"In preolio apud Utum, Attila, rex Hunnorum, Daciam invasit","At the Battle of Utus, Attila the Hun invades Dacia"
1205,452,"Postquam Pontifex Maximus Leo Attilam dissuasit, Attila decrevit ne Italiam invaderet","After Pope Leo dissuaded Atilla, Atilla decided against invading Italy"
1208,455,Vandales Romam expugnaverunt,The Vandals sack Rome
299,455,"Eudoxia et Gallia Placibia imperatrices, a Vandalibus captae sunt",Empresses Eudoxia and Gallia Placibia are kidnapped by the Vandals
1214,461,"Ricimer, magister militum, Imperium in nomine Imperatoris Libius Sevērī.","Ricimer, Magister Militum of the Roman Empire, led the Empire. Shortly after his death, the Western Roman Empire fell"
1225,472,"Magister Militum Imperiī Occidentalis, Ricimer, exercitum contrā Imperatōrem Anthemium ducit et Olybrium in locō suō imperātorem facit.","The Magister Militum of the Western Empire, Ricimer, leads the army against the emperor Anthemius and makes Olybrius emperor in his place."
1228,475,"Orestes, magister militum, filio suo Imperium dedit. Filius ultimus imperator Imperii Romani Occidentale futurus est","Orestes, the magister militum, Declares his son Emperor. This son will become the last Emperor of the Western Roman Empire"
